2026-07-13 16:54:19 | INFO     | automation.file_renamer | Would rename 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.excel_tools | Exported 4 row(s) to C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_export_to_csv0\report.csv
2026-07-13 16:56:32 | INFO     | automation.excel_tools | Read 4 row(s) x 4 column(s) from sales.xlsx
2026-07-13 16:56:32 | INFO     | automation.excel_tools | Exported 4 row(s) to C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_export_to_xlsx0\report.xlsx
2026-07-13 16:56:32 | INFO     | automation.excel_tools | Read 4 row(s) x 4 column(s) from sales.xlsx
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Would rename 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 7/7 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 2/2 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 2/2 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.file_renamer | Renamed 1/1 files (0 failed)
2026-07-13 16:56:32 | INFO     | automation.folder_organizer | Organized 7 files into 4 categories
2026-07-13 16:56:32 | INFO     | automation.folder_organizer | Organized 1 files into 1 categories
2026-07-13 16:56:32 | INFO     | automation.folder_organizer | Would organize 7 files into 4 categories
2026-07-13 16:56:32 | INFO     | automation.folder_organizer | Organized 7 files into 4 categories
2026-07-13 16:56:32 | INFO     | automation.folder_organizer | Organized 1 files into 1 categories
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Merged 2 file(s) -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_merged_page_count_is_the_0\merged.pdf
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Split sample.pdf into 2 page file(s) -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_creates_one_file_per_page0\pages
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Extracted 0 character(s) of text from sample.pdf
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Extracted text from sample.pdf -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_writes_to_output_path_whe0\extracted.txt
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Rotated sample.pdf by 90 degrees -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_rotation_is_applied_to_ev0\rotated.pdf
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Encrypted sample.pdf -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_roundtrip_recovers_readab0\locked.pdf
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Decrypted locked.pdf -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_roundtrip_recovers_readab0\unlocked.pdf
2026-07-13 16:56:32 | INFO     | automation.pdf_tools | Encrypted sample.pdf -> C:\Users\Lenovo\AppData\Local\Temp\pytest-of-Lenovo\pytest-0\test_wrong_password_raises0\locked.pdf
2026-07-13 17:15:56 | INFO     | automation.pdf_tools | Merged 2 file(s) -> output\merged.pdf
2026-07-13 17:16:06 | INFO     | automation.pdf_tools | Split merged.pdf into 3 page file(s) -> output\pages
2026-07-13 17:16:19 | INFO     | automation.excel_tools | Read 6 row(s) x 4 column(s) from sales.xlsx
2026-07-13 17:16:19 | INFO     | automation.excel_tools | Exported 6 row(s) to output\report.csv
2026-07-13 17:16:28 | INFO     | automation.excel_tools | Filtered sales.xlsx!Sheet1: 4/6 row(s) match Status=Active
2026-07-13 17:16:28 | INFO     | automation.excel_tools | Exported 4 row(s) to output\active.xlsx
